"sigla","fonte","camada","id_na_fonte","nome_na_fonte","status","professor","observacao"
"CONTAB","Estrategia Regular Fiscal","drive","","(41-42) Contabilidade Geral e Avancada - Gilmar Possati","ok","Gilmar Possati",""
"CONTAB","Estrategia Regular Fiscal","drive","","Contabilidade Geral e Avancada - Cardozo Rosa Sande","ok","Cardozo Rosa Sande",""
"AFO","Estrategia Regular Fiscal","drive","","Administracao Financeira e Orcamentaria","ok","",""
"AUDIT","Estrategia Regular Fiscal","drive","","Auditoria","ok","",""
"CONTPU","Estrategia Regular Fiscal","drive","","Contabilidade Publica","ok","",""
"CUSTOS","Estrategia Regular Fiscal","drive","","Contabilidade de Custos","ok","",""
"DADM","Estrategia Regular Fiscal","drive","","Direito Administrativo","ok","",""
"DCIVIL","Estrategia Regular Fiscal","drive","","Direito Civil - Cadu Carrilho","ok","Cadu Carrilho",""
"DCIVIL","Estrategia Regular Fiscal","drive","","Direito Civil - Paulo Sousa","ok","Paulo Sousa",""
"DCONST","Estrategia Regular Fiscal","drive","","Direito Constitucional","ok","",""
"DEMPRE","Estrategia Regular Fiscal","drive","","Direito Empresarial","ok","",""
"DPENAL","Estrategia Regular Fiscal","drive","","Direito Penal","ok","",""
"DTRIB","Estrategia Regular Fiscal","drive","","Direito Tributario","ok","",""
"ECOFIN","Estrategia Regular Fiscal","drive","","Economia e Financas Publicas","ok","",""
"ESTAT","Estrategia Regular Fiscal","drive","","Estatistica","ok","",""
"TECINF","Estrategia Regular Fiscal","drive","","Informatica","ok","",""
"","Estrategia Regular Fiscal","drive","","Legislacao Tributaria Estadual","local","",""
"","Estrategia Regular Fiscal","drive","","Legislacao Tributaria Municipal","local","",""
"PORT","Estrategia Regular Fiscal","drive","","Portugues","ok","",""
"RACLOG","Estrategia Regular Fiscal","drive","","Raciocinio Logico e Matematica","ok","","o nome mistura MATFIN; o corte sai na base 2"
"LTRIB","Estrategia Regular Fiscal","drive","","Reforma Tributaria","ok","","pasta unica guardando as duas; ver pendencia"
"REFTRI","Estrategia Regular Fiscal","drive","","Reforma Tributaria","ok","","pasta unica guardando as duas; ver pendencia"
"TECINF","Estrategia Regular Fiscal","drive","","Tecnologia da Informacao","ok","",""
"AFO","Estrategia Regular Controle","drive","","AFO, Orçamento Público e LRF","ok","",""
"ADMPUB","Estrategia Regular Controle","drive","","Administração Pública","ok","",""
"TECINF","Estrategia Regular Controle","drive","","Análise de Informações","ok","",""
"AUDIT","Estrategia Regular Controle","drive","","Auditoria Governamental","ok","",""
"CONTAB","Estrategia Regular Controle","drive","","Contabilidade Geral Avançada","ok","",""
"CONTPU","Estrategia Regular Controle","drive","","Contabilidade Pública","ok","",""
"CTREXT","Estrategia Regular Controle","drive","","Controle Externo","ok","",""
"DADM","Estrategia Regular Controle","drive","","Direito Administrativo","ok","",""
"DCONST","Estrategia Regular Controle","drive","","Direito Constitucional","ok","",""
"MATFIN","Estrategia Regular Controle","drive","","Matemática Financeira","ok","",""
