"sigla","area","evidencia"
"ADMPUB","Controle","curso 224359 existe no pacote do Regular Controle (conferido 22/08/2026)"
"AFO","Controle","curso 224358 existe no pacote do Regular Controle (conferido 22/08/2026)"
"AFO","Fiscal","curso 263651 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"AUDIT","Controle","curso 224360 existe no pacote do Regular Controle (conferido 22/08/2026)"
"AUDIT","Fiscal","curso 220886 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"CONTAB","Controle","curso 224361 existe no pacote do Regular Controle (conferido 22/08/2026)"
"CONTAB","Fiscal","curso 220887/331806 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"CONTPU","Controle","curso 224363 existe no pacote do Regular Controle (conferido 22/08/2026)"
"CONTPU","Fiscal","curso 263654 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"CTREXT","Controle","curso 224362 existe no pacote do Regular Controle (conferido 22/08/2026)"
"CUSTOS","Fiscal","curso 331818 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"DADM","Controle","curso 224357 existe no pacote do Regular Controle (conferido 22/08/2026)"
"DADM","Fiscal","curso 220883 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"DCIVIL","Fiscal","curso 220869/332611 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"DCONST","Controle","curso 224356 existe no pacote do Regular Controle (conferido 22/08/2026)"
"DCONST","Fiscal","curso 220880 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"DEMPRE","Fiscal","curso 220866 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"DPENAL","Fiscal","curso 220871 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"DTRIB","Fiscal","curso 220884 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"ECOFIN","Fiscal","curso 220893 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"ESTAT","Fiscal","curso 220877 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"LTRIB","Fiscal","curso 336350 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"MATFIN","Controle","curso 224355 existe no pacote do Regular Controle (conferido 22/08/2026)"
"PORT","Controle","curso 224353 existe no pacote do Regular Controle (conferido 22/08/2026)"
"PORT","Fiscal","curso 220874 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"RACLOG","Controle","curso 224354 existe no pacote do Regular Controle (conferido 22/08/2026)"
"RACLOG","Fiscal","curso 220875 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"REFTRI","Fiscal","curso 371461/389109 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
"TECINF","Controle","curso 224352 existe no pacote do Regular Controle (conferido 22/08/2026)"
"TECINF","Fiscal","curso 247678/247701 existe no pacote do Regular Fiscal (conferido 22/08/2026)"
