"sigla","nome_canonico","observacao"
"ADMPUB","Administração Pública",""
"AFO","Administração Financeira e Orçamentária",""
"AUDIT","Auditoria","absorveu Auditoria Governamental (A8)"
"CONTAB","Contabilidade Geral e Avançada","professor de referência: Gilmar Possati"
"CONTPU","Contabilidade Pública",""
"CTREXT","Controle Externo",""
"CUSTOS","Contabilidade de Custos",""
"DADM","Direito Administrativo",""
"DCIVIL","Direito Civil","professor de referência: Paulo Sousa"
"DCONST","Direito Constitucional",""
"DEMPRE","Direito Empresarial",""
"DPENAL","Direito Penal",""
"DTRIB","Direito Tributário",""
"ECOFIN","Economia e Finanças Públicas",""
"ESTAT","Estatística",""
"LTEST","Legislação Tributária Estadual (parte geral)","curso 220891 (ICMS na CF, CONFAZ, Lei Kandir). A Lei Kandir mora aqui: ICMS é competência estadual"
"LTFED","Legislação Tributária Federal","SEM material no Curso Regular: nasce nomeada e SEM Cód Mestre, até aparecer teoria"
"LTMUN","Legislação Tributária Municipal (parte geral)","curso 220896 (IPTU, ITBI, ISS na CF/CTN/LC 116)"
"MATFIN","Matemática Financeira",""
"PORT","Português",""
"RACLOG","Raciocínio Lógico",""
"REFTRI","Reforma Tributária","cursos 371461 e 389109 do Regular Fiscal"
"TECINF","Tecnologia da Informação","coluna de profundidade (Noções/Aprofundado) na base 2"
