"sigla","nome_canonico","congelado_em","status","motivo"
"ADMPUB","Administração Pública","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"AFO","Administração Financeira e Orçamentária","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"AUDIT","Auditoria","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"CONTAB","Contabilidade Geral e Avançada","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"CONTPU","Contabilidade Pública","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"CTREXT","Controle Externo","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"CUSTOS","Contabilidade de Custos","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"DADM","Direito Administrativo","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"DCIVIL","Direito Civil","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"DCONST","Direito Constitucional","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"DEMPRE","Direito Empresarial","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"DPENAL","Direito Penal","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"DTRIB","Direito Tributário","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"ECOFIN","Economia e Finanças Públicas","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"ESTAT","Estatística","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"LTEST","Legislação Tributária Estadual (parte geral)","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"LTFED","Legislação Tributária Federal","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"LTMUN","Legislação Tributária Municipal (parte geral)","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"MATFIN","Matemática Financeira","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"PORT","Português","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"RACLOG","Raciocínio Lógico","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"REFTRI","Reforma Tributária","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"TECINF","Tecnologia da Informação","2026-08-22","ativa","a Tutory identifica o que o aluno ja estudou por nome do assunto + NOME DA DISCIPLINA; mudar o nome, ainda que por um espaco, faz a plataforma tratar como disciplina nova e quebra o historico do aluno (Elvis, 22/08/2026)"
"LTRIB","Legislação Tributária (parte geral)","2026-08-22","APOSENTADA","aposentada em 22/08/2026 sem nunca ter sido publicada; substituida por LTEST, LTMUN e LTFED. NUNCA REAPROVEITAR esta sigla para outra disciplina: se algum dia ela tiver sido publicada em qualquer lugar, o reaproveitamento apontaria o aluno para conteudo errado"
