"curso","pasta_atual_no_disco","nome_na_fonte","sigla","pasta_nova_sem_data","chars","chars_com_data","status","observacao"
"Regular Fiscal","(41-42) Contabilidade Geral e Avancada - Gilmar Possati (Regular Fiscal) (18-08-2026)","(41-42) Contabilidade Geral e Avancada - Gilmar Possati","CONTAB","CONTAB - Contab Geral e Avancada (Possati)","42","55","ok","sintetizado; (41-42) e posicao, nao identidade"
"Regular Fiscal","Contabilidade Geral e Avancada - Cardozo Rosa Sande (Regular Fiscal) (18-08-2026)","Contabilidade Geral e Avancada - Cardozo Rosa Sande","CONTAB","CONTAB - Contab Geral e Avancada (Cardozo)","42","55","ok","sintetizado; NOMENCLATURA.md"
"Regular Fiscal","Administracao Financeira e Orcamentaria (Regular Fiscal) (18-08-2026)","Administracao Financeira e Orcamentaria","AFO","AFO - Administracao Financeira e Orcamentaria","45","58","ok","45 caracteres, no limite exato"
"Regular Fiscal","Auditoria (Regular Fiscal) (18-08-2026)","Auditoria","AUDIT","AUDIT - Auditoria","17","30","ok",""
"Regular Fiscal","Contabilidade Publica (Regular Fiscal) (18-08-2026)","Contabilidade Publica","CONTPU","CONTPU - Contabilidade Publica","30","43","ok",""
"Regular Fiscal","Contabilidade de Custos (Regular Fiscal) (18-08-2026)","Contabilidade de Custos","CUSTOS","CUSTOS - Contabilidade de Custos","32","45","ok",""
"Regular Fiscal","Direito Administrativo (Regular Fiscal) (18-08-2026)","Direito Administrativo","DADM","DADM - Direito Administrativo","29","42","ok",""
"Regular Fiscal","Direito Civil - Cadu Carrilho (Regular Fiscal) (18-08-2026)","Direito Civil - Cadu Carrilho","DCIVIL","DCIVIL - Direito Civil - Cadu Carrilho","38","51","ok",""
"Regular Fiscal","Direito Civil - Paulo Sousa (Regular Fiscal) (18-08-2026)","Direito Civil - Paulo Sousa","DCIVIL","DCIVIL - Direito Civil - Paulo Sousa","36","49","ok","professor de referencia (A8)"
"Regular Fiscal","Direito Constitucional (Regular Fiscal) (18-08-2026)","Direito Constitucional","DCONST","DCONST - Direito Constitucional","31","44","ok",""
"Regular Fiscal","Direito Empresarial (Regular Fiscal) (18-08-2026)","Direito Empresarial","DEMPRE","DEMPRE - Direito Empresarial","28","41","ok",""
"Regular Fiscal","Direito Penal (Regular Fiscal) (18-08-2026)","Direito Penal","DPENAL","DPENAL - Direito Penal","22","35","ok",""
"Regular Fiscal","Direito Tributario (Regular Fiscal) (18-08-2026)","Direito Tributario","DTRIB","DTRIB - Direito Tributario","26","39","ok",""
"Regular Fiscal","Economia e Financas Publicas (Regular Fiscal) (18-08-2026)","Economia e Financas Publicas","ECOFIN","ECOFIN - Economia e Financas Publicas","37","50","ok",""
"Regular Fiscal","Estatistica (Regular Fiscal) (18-08-2026)","Estatistica","ESTAT","ESTAT - Estatistica","19","32","ok",""
"Regular Fiscal","Informatica (Regular Fiscal) (18-08-2026)","Informatica","TECINF","TECINF - Informatica","20","33","ok","mesma sigla que Tecnologia da Informacao, e esperado"
"Regular Fiscal","Portugues (Regular Fiscal) (18-08-2026)","Portugues","PORT","PORT - Portugues","16","29","ok",""
"Regular Fiscal","Raciocinio Logico e Matematica (Regular Fiscal) (18-08-2026)","Raciocinio Logico e Matematica","RACLOG","RACLOG - Raciocinio Logico e Matematica","39","52","ok","o nome mistura MATFIN; o corte real sai na base 2"
"Regular Fiscal","Tecnologia da Informacao (Regular Fiscal) (18-08-2026)","Tecnologia da Informacao","TECINF","TECINF - Tecnologia da Informacao","33","46","ok","mesma sigla que Informatica, e esperado"
"Regular Fiscal","Reforma Tributaria (Regular Fiscal) (18-08-2026)","Reforma Tributaria","","","","","pendente","a pasta guarda LTRIB (curso 336350) E REFTRI (371461, 389109). NAO se resolve sozinha: no modo `atualizar` a pasta existente fica como esta, entao separar e trabalho explicito e decisao do Elvis (tarefa B69)"
"Regular Fiscal","Legislacao Tributaria Estadual (Regular Fiscal) (18-08-2026)","Legislacao Tributaria Estadual","","","","","pendente","curso generico, sem ente no nome (220891 diz '(Todos Estados)'): NAO e o 'local' da A8, entao nao ha contradicao. Falta so decidir se e LTRIB tambem (B70)"
"Regular Fiscal","Legislacao Tributaria Municipal (Regular Fiscal) (18-08-2026)","Legislacao Tributaria Municipal","","","","","pendente","curso generico, sem ente no nome (220891 diz '(Todos Estados)'): NAO e o 'local' da A8, entao nao ha contradicao. Falta so decidir se e LTRIB tambem (B70)"
"Regular Controle","AFO, Orçamento Público e LRF (Regular Controle) (18-08-2026)","AFO, Orçamento Público e LRF","AFO","AFO - AFO, Orçamento Público e LRF","34","47","ok","redundante mas literal; nome da fonte nao se traduz"
"Regular Controle","Administração Pública (Regular Controle) (18-08-2026)","Administração Pública","ADMPUB","ADMPUB - Administração Pública","30","43","ok",""
"Regular Controle","Análise de Informações (Regular Controle) (18-08-2026)","Análise de Informações","TECINF","TECINF - Análise de Informações","31","44","ok",""
"Regular Controle","Auditoria Governamental (Regular Controle) (18-08-2026)","Auditoria Governamental","AUDIT","AUDIT - Auditoria Governamental","31","44","ok",""
"Regular Controle","Contabilidade Geral Avançada (Regular Controle) (18-08-2026)","Contabilidade Geral Avançada","CONTAB","CONTAB - Contabilidade Geral Avançada","37","50","ok",""
"Regular Controle","Contabilidade Pública (Regular Controle) (18-08-2026)","Contabilidade Pública","CONTPU","CONTPU - Contabilidade Pública","30","43","ok",""
"Regular Controle","Controle Externo (Regular Controle) (18-08-2026)","Controle Externo","CTREXT","CTREXT - Controle Externo","25","38","ok",""
"Regular Controle","Direito Administrativo (Regular Controle) (18-08-2026)","Direito Administrativo","DADM","DADM - Direito Administrativo","29","42","ok",""
"Regular Controle","Direito Constitucional (Regular Controle) (18-08-2026)","Direito Constitucional","DCONST","DCONST - Direito Constitucional","31","44","ok",""
"Regular Controle","Matemática Financeira (Regular Controle) (18-08-2026)","Matemática Financeira","MATFIN","MATFIN - Matemática Financeira","30","43","ok",""
"Regular Controle","Português (Regular Controle) (18-08-2026)","Português","PORT","PORT - Português","16","29","ok",""
"Regular Controle","Raciocínio Lógico e Analítico (Regular Controle) (18-08-2026)","Raciocínio Lógico e Analítico","RACLOG","RACLOG - Raciocínio Lógico e Analítico","38","51","ok",""
